cobalt-next	false	#409dd4	#8cc98f	#d7deea	#162c35	#409dd4	#62747f	#62747f	#ff527b	#ffc64c	#cba3c7	#162c35	#233841	#1c323b
cobalt-next-dark	false	#409dd4	#8cc98f	#d7deea	#0b1c24	#409dd4	#62747f	#62747f	#f94967	#ffc64c	#cba3c7	#0b1c24	#192931	#12222a
cobalt-next-minimal	false	#409dd4	#8cc98f	#d7deea	#0b1c24	#409dd4	#62747f	#62747f	#ff657a	#ffc64c	#cba3c7	#0b1c24	#192931	#12222a
cobalt2	false	#1460d2	#38de21	#ffffff	#132738	#1460d2	#555555	#555555	#ff0000	#ffe50a	#ff005d	#132738	#213343	#1a2d3d
coffee-theme	true	#0225c7	#00c200	#000000	#f5deb3	#0225c7	#686868	#686868	#c91b00	#adaa00	#ca30c7	#f5deb3	#e6d0a8	#edd7ad
crayon-pony-fish	false	#8c87b0	#579524	#68525a	#150707	#8c87b0	#4a383b	#4a383b	#91002b	#ab311b	#692f50	#150707	#231515	#1c0e0e
cursor-dark	false	#81a1c1	#a3be8c	#ffffff	#141414	#81a1c1	#505050	#505050	#bf616a	#ebcb8b	#b48ead	#141414	#222222	#1b1b1b
cutie-pro	false	#42d9c5	#bec975	#d5d0c9	#181818	#42d9c5	#88847f	#88847f	#f56e7f	#f58669	#d286b7	#181818	#252525	#1e1e1e
cyberdyne	false	#0071cf	#00c172	#00ff92	#151144	#0071cf	#484848	#484848	#ff8373	#d2a700	#ff90fe	#151144	#231f4f	#1c1849
cyberpunk	false	#00bfff	#00fbac	#e5e5e5	#332a57	#00bfff	#595959	#595959	#ff7092	#fffa6a	#df95ff	#332a57	#3f3661	#39305c
cyberpunk-scarlet-protocol	false	#0271b6	#01dc84	#e41951	#101116	#0271b6	#686868	#686868	#ff0051	#faf945	#c930c7	#101116	#1e1f23	#17181c
dark+	false	#2472c8	#0dbc79	#cccccc	#1e1e1e	#2472c8	#666666	#666666	#cd3131	#e5e510	#bc3fbc	#1e1e1e	#2b2b2b	#242424
dark-modern	false	#0078d4	#2ea043	#cccccc	#1f1f1f	#0078d4	#5d5d5d	#5d5d5d	#f74949	#9e6a03	#d01273	#1f1f1f	#2c2c2c	#252525
dark-pastel	false	#5555ff	#55ff55	#ffffff	#000000	#5555ff	#555555	#555555	#ff5555	#ffff55	#ff55ff	#000000	#0f0f0f	#070707
darkermatrix	false	#00cb6b	#6fa64c	#35451a	#070c0e	#00cb6b	#404040	#404040	#1a4831	#595900	#4e375a	#070c0e	#151a1c	#0e1315
darkmatrix	false	#2c9a84	#6fa64c	#3e5715	#070c0e	#2c9a84	#404040	#404040	#006536	#7e8000	#523a60	#070c0e	#151a1c	#0e1315
darkside	false	#1c98e8	#68c256	#bababa	#222324	#1c98e8	#4c4c4c	#4c4c4c	#e8341c	#f2d42c	#8e69c9	#222324	#2f3031	#28292a
dawnfox	true	#286983	#618774	#575279	#faf4ed	#286983	#5f5695	#5f5695	#b4637a	#ea9d34	#907aa9	#faf4ed	#ebe5de	#f2ece5
